best_action	value	value_quantile
RIGHT	-18.673091888427734	0
RIGHT	-8.968293190002441	1
SHOOT	1.6601533889770508	2
SHOOT	3.270261287689209	3
LEFT	-8.371047973632812	1
RIGHT	-13.610105514526367	0
RIGHT	-0.3571290373802185	2
SHOOT	6.609236240386963	3
RIGHT	-5.894824504852295	1
RIGHT	-0.7448759078979492	2
SHOOT	6.609236240386963	3
RIGHT	-5.894824504852295	1
LEFT	-8.371047973632812	1
LEFT	-2.6716713905334473	2
RIGHT	-5.193620204925537	1
LEFT	-2.0693438053131104	2
RIGHT	-18.673091888427734	0
